element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
136,136.00000000,136,1,"[2, 17]","[3, 0, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
137,137.00000000,137,1,[137],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
138,138.00000000,138,1,"[2, 3, 23]","[1, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
139,139.00000000,139,1,[139],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
140,140.00000000,140,1,"[2, 5, 7]","[2, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
141,141.00000000,141,1,"[3, 47]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
142,142.00000000,142,1,"[2, 71]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
143,143.00000000,143,1,"[11, 13]","[0, 0, 0, 0, 1, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
144,144.00000000,144,1,"[2, 3]","[4, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
145,145.00000000,145,1,"[5, 29]","[0, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
146,146.00000000,146,1,"[2, 73]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
147,147.00000000,147,1,"[3, 7]","[0, 1, 0, 2, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
148,148.00000000,148,1,"[2, 37]","[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
149,149.00000000,149,1,[149],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
150,150.00000000,150,1,"[2, 3, 5]","[1, 1, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
151,151.00000000,151,1,[151],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
152,152.00000000,152,1,"[2, 19]","[3, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
153,153.00000000,153,1,"[3, 17]","[0, 2, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
154,154.00000000,154,1,"[2, 7, 11]","[1, 0, 0, 1, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
155,155.00000000,155,1,"[5, 31]","[0, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
156,156.00000000,156,1,"[2, 3, 13]","[2, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
157,157.00000000,157,1,[157],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
158,158.00000000,158,1,"[2, 79]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
159,159.00000000,159,1,"[3, 53]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
160,160.00000000,160,1,"[2, 5]","[5, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
161,161.00000000,161,1,"[7, 23]","[0, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
162,162.00000000,162,1,"[2, 3]","[1, 4, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
163,163.00000000,163,1,[163],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
164,164.00000000,164,1,"[2, 41]","[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
