element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
65/16,4.06250000,65,16,"[2, 5, 13]","[-4, 0, 1, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
65/32,2.03125000,65,32,"[2, 5, 13]","[-5, 0, 1, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
67/16,4.18750000,67,16,"[2, 67]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
67/32,2.09375000,67,32,"[2, 67]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
69/16,4.31250000,69,16,"[2, 3, 23]","[-4, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
69/32,2.15625000,69,32,"[2, 3, 23]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
71/16,4.43750000,71,16,"[2, 71]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
71/32,2.21875000,71,32,"[2, 71]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
73/16,4.56250000,73,16,"[2, 73]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
73/32,2.28125000,73,32,"[2, 73]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
75/16,4.68750000,75,16,"[2, 3, 5]","[-4, 1, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
75/32,2.34375000,75,32,"[2, 3, 5]","[-5, 1, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
77/16,4.81250000,77,16,"[2, 7, 11]","[-4, 0, 0, 1, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
77/32,2.40625000,77,32,"[2, 7, 11]","[-5, 0, 0, 1, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
79/16,4.93750000,79,16,"[2, 79]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
79/32,2.46875000,79,32,"[2, 79]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
81/16,5.06250000,81,16,"[2, 3]","[-4, 4, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
81/32,2.53125000,81,32,"[2, 3]","[-5, 4, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
83/16,5.18750000,83,16,"[2, 83]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
83/32,2.59375000,83,32,"[2, 83]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
85/16,5.31250000,85,16,"[2, 5, 17]","[-4, 0, 1, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
85/32,2.65625000,85,32,"[2, 5, 17]","[-5, 0, 1, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
87/16,5.43750000,87,16,"[2, 3, 29]","[-4, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
87/32,2.71875000,87,32,"[2, 3, 29]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
89/16,5.56250000,89,16,"[2, 89]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
89/32,2.78125000,89,32,"[2, 89]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
91/16,5.68750000,91,16,"[2, 7, 13]","[-4, 0, 0, 1, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
91/32,2.84375000,91,32,"[2, 7, 13]","[-5, 0, 0, 1, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
93/16,5.81250000,93,16,"[2, 3, 31]","[-4, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
